,year,party,window_id,terms,dynamic_id,topic_label,sub_topic,major_topic
842,1991,Rep,42,"['nation', 'united', 'peace', 'cyprus', 'effort', 'commitment', 'interest', 'national', 'economic', 'history', 'opportunity', 'today', 'international', 'community', 'turkey', 'aggression', 'crisis', 'stand', 'remain', 'pledge']",64,?_?,general,international affairs
846,1991,Rep,46,"['river', 'study', 'wild_scenic', 'designation', 'district', 'gentleman_nebraska', 'niobrara_river', 'protect', 'niobrara', 'local', 'national_park', 'mile', 'nebraskan', 'area', 'poll', 'system', 'federal', 'condemnation', 'represent', 'segment']",120,?_?,general,public lands
856,1991,Rep,56,"['service', 'serve', 'national_park', 'civil', 'post_office', 'old_american', 'station', 'postal_service', 'financial', 'facility', 'disability', 'volunteer', 'postal', 'ensure', 'individual', 'agency', 'training', 'active_duty', 'national', 'award']",30,?_?,,
860,1991,Rep,60,"['problem', 'face', 'real', 'solve', 'basis', 'solution', 'situation', 'cyprus', 'economic', 'change', 'today', 'deficit', 'technical', 'domestic', 'many', 'exist', 'cause', 'help', 'reason', 'create']",31,?_?,,
865,1991,Rep,65,"['cost', 'estimate', 'cbo', 'test', 'taxpayer', 'federal_government', 'figure', 'revenue', 'total', 'dollar', 'reduce', 'add', 'regulation', 'additional', 'ssc', 'omb', 'page', 'aircraft', 'subsidy', 'flight_attendant']",40,?_costs,national budget,macroeconomics
866,1991,Rep,66,"['policy', 'mexico_city', 'family_planning', 'population', 'unfpa', 'organization', 'economic', 'international', 'coercive', 'develop', 'domestic', 'promote', 'kempkasten', 'foreign_aid', 'assistance', 'compliance', 'income', 'poor', 'change', 'foreign_policy']",80,?_?,,
868,1991,Rep,68,"['use', 'purpose', 'force', 'illegal_drug', 'weapon', 'mean', 'authority', 'word', 'little', 'equipment', 'intend', 'example', 'paper', 'part', 'resource', 'white_house', 'today', 'necessary', 'end', 'wrong']",34,?_?,,
879,1991,Rep,79,"['way', 'kind', 'change', 'happen', 'find', 'give', 'body', 'well', 'same', 'suggest', 'feel', 'course', 'able', 'hope', 'seem', 'gentleman_yield', 'different', 'particular', 'whole', 'idea']",65,?_?,,
916,1992,Rep,36,"['nation', 'world', 'democracy', 'greek', 'freedom', 'government', 'cyprus', 'human_right', 'greece', 'armenian', 'war', 'independence', 'peace', 'serbian', 'lithuania', 'europe', 'great', 'democratic', 'yugoslavia', 'life']",64,?_?,general,international affairs
921,1992,Rep,41,"['lineitem_veto', 'authority', 'give', 'kylallen', 'governor', 'solomon', 'power', 'line_item', 'president_bush', 'clinton', 'opportunity', 'other_side', 'hope', 'effort', 'item', 'implement', 'side_aisle', 'nominee', 'aisle', 'interior_appropriation']",77,?_?,,
924,1992,Rep,44,"['problem', 'solution', 'many', 'face', 'solve', 'solve_problem', 'situation', 'entitlement', 'cause', 'approach', 'fix', 'good', 'way', 'body', 'concern', 'trouble', 'focus', 'own', 'big', 'correct']",31,?_?,,
931,1992,Rep,51,"['service', 'provide', 'health', 'indian', 'community', 'center', 'civil', 'substance_abuse', 'grant', 'treatment', 'mental_health', 'alcohol_drug', 'federal', 'facility', 'provider', 'administration', 'abuse_mental', 'health_human', 'agency', 'individual']",30,?_?,public health,health
935,1992,Rep,55,"['cost', 'taxpayer', 'estimate', 'pay', 'additional', 'saving', 'expense', 'save', 'dollar', 'add', 'reduce', 'total', 'much', 'price', 'amount', 'cbo', 'share', 'system', 'figure', 'asrm']",40,?_costs,,
939,1992,Rep,59,"['debt', 'pay', 'interest', 'national_debt', 'entitlement', 'last_year', 'mean', 'fix_income', 'federal_reserve', 'taxpayer', 'hyperinflation', 'social_security', 'monetize', 'board', 'bad', 'federal_government', 'high', 'part', 'loaf', 'bread']",94,?_?,national budget,macroeconomics
941,1992,Rep,61,"['housing', 'home', 'hope', 'community', 'public_housing', 'banking_finance', 'urban_affair', 'affordable_housing', 'development', 'home_ownership', 'provide', 'military_construction', 'elderly', 'hud', 'last_year', 'banking_committee', 'lowincome', 'pleasure', 'administration', 'mortgage']",43,housing_?,general,housing
946,1992,Rep,66,"['study', 'site', 'waste', 'river', 'airport', 'area', 'yucca_mountain', 'national_park', 'park', 'repository', 'environmental', 'concern', 'facility', 'wipp', 'characterization', 'propose', 'nuclear_waste', 'safety', 'disposal', 'doe']",120,?_?,general,environment
955,1992,Rep,75,"['open_rule', 'open', 'first', 'closed_rule', 'restrictive', 'urge_adoption', 'able', 'intelligence', 'administration', 'opportunity', 'stand', 'understanding', 'banking_finance', 'urban_affair', 'wonder', 'will', 'handle', 'file', 'subject', 'chance']",77,?_?,,
973,1993,Rep,13,"['service', 'national', 'community', 'volunteer', 'student', 'provide', 'participant', 'education', 'trust', 'serve', 'educational', 'new', 'grant', 'organization', 'voluntarism', 'young_people', 'create', 'help', 'receive', 'individual']",30,?_?,,
985,1993,Rep,25,"['problem', 'drug', 'solve', 'kind', 'face', 'area', 'lot', 'solve_problem', 'happen', 'concern', 'part', 'find', 'solution', 'whole', 'situation', 'big', 'concerned', 'one', 'believe', 'least']",31,?_?,,
995,1993,Rep,35,"['tax_increase', 'history', 'large', 'raise_taxis', 'democrats', 'massive', 'huge', 'democrat', 'high_taxis', 'hit', 'public', 'propose', 'reduce_deficit', 'wealthy', 'remember', 'energy_tax', 'social_security', 'average', 'high', 'income']",64,?_?,taxation,macroeconomics
996,1993,Rep,36,"['cost', 'estimate', 'taxpayer', 'energy', 'btu_tax', 'total', 'high', 'energy_tax', 'price', 'mandate', 'much', 'dollar', 'ssc', 'add', 'figure', 'production', 'average', 'county', 'termination', 'regulation']",40,?_costs,costs,energy
1001,1993,Rep,41,"['lineitem_veto', 'veto', 'real', 'rescission', 'castlesolomon', 'give', 'power', 'authority', 'governor', 'expedite_rescission', 'enhanced_rescission', 'true_lineitem', 'freshman', 'substitute', 'override', 'pork', 'twothird', 'tool', 'lineitem', 'sham']",77,?_?,,
1009,1993,Rep,49,"['debt', 'raise', 'debt_limit', 'national_debt', 'debt_ceiling', 'balanced_budget', 'public', 'balance_budget', 'dollar', 'interest', 'stop', 'next_year', 'document', 'run', 'term', 'end', 'democrats', 'limit', 'ceiling', 'constitution']",94,?_?,national budget,macroeconomics
1029,1993,Rep,69,"['mean', 'way', 'word', 'term', 'suggest', 'find', 'part', 'definition', 'lot', 'wonder', 'happen', 'case', 'spouse', 'feel', 'kind', 'believe', 'happy_yield', 'meeting', 'public', 'define']",65,?_?,,
1038,1993,Rep,78,"['use', 'purpose', 'word', 'number', 'public', 'facility', 'such', 'term', 'asrm', 'safety', 'appropriate', 'body', 'example', 'force', 'involve', 'true', 'same', 'pesticide', 'reason', 'plant']",34,?_?,,
1040,1994,Rep,0,"['way', 'good', 'mean', 'lot', 'find', 'kind', 'give', 'handle', 'same', 'idea', 'little', 'suggest', 'happen', 'feel', 'seem', 'term', 'hope', 'one', 'well', 'start']",65,?_?,,
1070,1994,Rep,30,"['cost', 'estimate', 'business', 'figure', 'reduce', 'save', 'taxpayer', 'medicare', 'federal_government', 'additional', 'saving', 'premium', 'operation', 'average', 'high', 'american_taxpayer', 'price', 'burden', 'add', 'great']",40,?_costs,,
1075,1994,Rep,35,"['system', 'current', 'fix', 'new', 'care', 'criminal_justice', 'patent', 'canada', 'improve', 'governmentrun_health', 'develop', 'medical_care', 'c17', 'financing', 'socialized', 'medicare', 'create', 'medical', 'victim', 'highway']",42,?_?,,
1097,1994,Rep,57,"['service', 'provide', 'head_start', 'competition', 'national_park', 'public', 'woman', 'legal', 'cable', 'current', 'serve', 'financial', 'telephone', 'clinic', 'information', 'consumer', 'communication', 'quality', 'telecommunication', 'industry']",30,?_?,,
1106,1994,Rep,66,"['problem', 'solve', 'solution', 'lot', 'fix', 'part', 'real', 'correct', 'solve_problem', 'same', 'understand', 'concern', 'exist', 'area', 'concerned', 'reason', 'idea', 'raise', 'least', 'create']",31,?_?,,
1113,1994,Rep,73,"['housing', 'public_housing', 'hud', 'community_development', 'senior', 'loan', 'elderly', 'rental', 'provide', 'home', 'loan_guarantee', 'live', 'resident', 'development', 'voucher', 'unit', 'rural', 'senior_citizen', 'demonstration', 'housing_authority']",43,housing_?,general,housing
1120,1995,Rep,0,"['great', 'nation', 'world', 'man', 'life', 'war', 'israel', 'peace', 'history', 'fight', 'remember', 'serve', 'name', 'honor', 'freedom', 'prime_minister', 'death', 'yitzhak_rabin', 'live', 'vietnam']",64,?_?,,
1132,1995,Rep,12,"['debt', 'interest', 'national_debt', 'deficit', 'future', 'nation', 'federal_government', 'borrow', 'child_grandchild', 'owe', 'bear', 'lifetime', 'federal', 'saddle', 'future_generation', 'start', 'add', 'borrow_money', 'debt_limit', 'run']",94,?_?,national budget,macroeconomics
1139,1995,Rep,19,"['provide', 'open_rule', 'open', 'general', 'fair', 'minority', 'opportunity', 'purpose', 'motion_recommit', 'service', 'chairman_rank', 'read', 'pende', 'instruction', 'divide', 'necessary', 'waiver', 'yield_customary', 'assistance', 'nature_substitute']",70,?_?,,
1160,1995,Rep,40,"['lineitem_veto', 'give', 'power', 'authority', 'governor', 'tool', 'president', 'ronald_reagan', 'wasteful_spending', 'item', 'wasteful', 'pork', 'rescission', 'body', 'help', 'birthday', 'line_item', 'unfunded_mandate', 'reagan', 'pork_barrel']",77,?_?,,
1166,1995,Rep,46,"['mandate', 'cost', 'unfunded_mandate', 'local_government', 'federal', 'impose', 'federal_government', 'unfunded', 'private_sector', 'estimate', 'clean_air', 'local', 'clean_water', 'force', 'require', 'county', 'burden', 'accountability', 'requirement', 'cbo']",40,?_costs,,
1168,1995,Rep,48,"['system', 'current', 'abuse', 'legal', 'missile', 'choice', 'health_care', 'welfare_system', 'fix', 'use', 'retirement', 'well', 'waste_fraud', 'develop', 'federal', 'justice', 'cost', 'fraud', 'computer', 'food_stamp']",42,?_?,,
1171,1995,Rep,51,"['problem', 'solution', 'solve', 'part', 'real', 'solve_problem', 'face', 'kind', 'area', 'fix', 'find', 'approach', 'concern', 'seem', 'correct', 'create', 'situation', 'epa', 'study', 'major']",31,?_?,,
1177,1995,Rep,57,"['way', 'mean', 'find', 'happen', 'different', 'same', 'well', 'kind', 'term', 'stand', 'hope', 'long', 'respect', 'ability', 'particular', 'approach', 'part', 'start', 'reason', 'idea']",65,?_?,,
1188,1995,Rep,68,"['housing', 'hud', 'aid', 'live', 'home', 'development', 'community', 'public_housing', 'senior_citizen', 'facility', 'disabled', 'account', 'drug', 'elderly', 'department', 'rural', 'old', 'military_construction', 'person', 'fair_housing']",43,housing_?,general,housing
1200,1996,Rep,0,"['study', 'gambling', 'information', 'national', 'river', 'industry', 'impact', 'gaming', 'casino', 'conduct', 'safety', 'datum', 'public', 'find', 'policy', 'concern', 'effect', 'age', 'new', 'regard']",120,?_?,general,domestic commerce
1211,1996,Rep,11,"['system', 'patent', 'new', 'change', 'technology', 'current', 'tsm', 'welfare_system', 'computer', 'steal', 'saving', 'fail', 'inventor', 'information', 'cost', 'idea', 'replace', 'patent_term', 'build', 'world']",42,?_?,,
1224,1996,Rep,24,"['housing', 'public_housing', 'housing_authority', 'rent', 'hud', 'lazio', 'poor', 'tenant', 'senior', 'resident', 'authority', 'disabled', 'brooke_amendment', 'live', 'unit', 'assistance', 'income', 'pet', 'development', 'elderly']",43,housing_?,general,housing
1235,1996,Rep,35,"['english', 'nation', 'immigrant', 'english_language', 'common', 'learn_english', 'speak', 'english_official', 'official', 'citizen', 'society', 'speak_english', 'ballot', 'culture', 'bilingual_ballot', 'bilingual_education', 'become', 'learn', 'opportunity', 'united']",64,?_?,general,immigration
1238,1996,Rep,38,"['service', 'serve', 'care', 'aid', 'national', 'information', 'health_human', 'public', 'health', 'agency', 'fish_wildlife', 'financial', 'medical', 'volunteer', 'corporation', 'competition', 'private', 'department', 'access', 'consumer']",30,?_?,,
1255,1996,Rep,55,"['problem', 'real', 'solve', 'area', 'situation', 'solution', 'concern', 'aware', 'correct', 'solve_problem', 'part', 'discuss', 'involve', 'kind', 'cause', 'face', 'suggest', 'gentleman_yield', 'find', 'happen']",31,?_?,,
1261,1996,Rep,61,"['provide', 'assistance', 'level', 'grant', 'resource', 'ensure', 'include', 'amend', 'necessary', 'such', 'benefit', 'authority', 'open_rule', 'additional', 'center', 'amount', 'information', 'general', 'addition', 'available']",70,?_?,,
1270,1996,Rep,70,"['give', 'opportunity', 'chance', 'hope', 'power', 'able', 'same', 'tax_break', 'kind', 'credit', 'notice', 'reason', 'ability', 'hand', 'own', 'benefit', 'raise', 'fair', 'today', 'life']",77,?_?,,
1276,1996,Rep,76,"['debt', 'interest', 'balance_budget', 'deficit', 'national_debt', 'debt_limit', 'today', 'future', 'helium', 'interest_rate', 'debt_ceiling', 'bear', 'child_grandchild', 'save', 'pie', 'nation', 'loan', 'borrow', 'default', 'owe']",94,?_?,national budget,macroeconomics
1296,1997,Rep,16,"['use', 'census', 'drug', 'tobacco', 'technology', 'number', 'prior', 'sample', 'dollar', 'appropriate', 'same', 'needle_exchange', 'administration', 'require', 'needle', 'legalization', 'user', 'correct', 'activity', 'prohibit']",34,?_?,,
1311,1997,Rep,31,"['housing', 'public_housing', 'housing_authority', 'poor', 'resident', 'hud', 'assistance', 'requirement', 'unit', 'authority', 'tenant', 'selfsufficiency', 'opportunity', 'rent', 'poverty', 'individual', 'condition', 'live', 'flexibility', 'receive']",43,housing_?,general,housing
1318,1997,Rep,38,"['system', 'change', 'current', 'individual', 'tax_code', 'public_school', 'computer', 'missile', 'kid', 'juvenile_justice', 'fail', 'create', 'district', 'highway', 'improve', 'break', 'kind', 'public', 'develop', 'result']",42,?_?,,
1319,1997,Rep,39,"['tax_relief', 'relief', 'tax_credit', 'provide', 'give', 'package', 'credit', 'benefit', 'middle_class', 'excuse', 'middleclass', 'deserve', 'capital_gain', 'balance_budget', 'liberal', 'real', 'taxpayer', 'household_income', '500perchild_tax', 'pay_taxis']",70,?_?,taxation,macroeconomics
1339,1997,Rep,59,"['nation', 'united', 'world', 'great', 'life', 'city', 'future', 'serve', 'location', 'many', 'arrearage', 'new', 'leave', 'history', 'un', 'treaty', 'honor', 'live', 'own', 'dream']",64,?_?,,
1343,1997,Rep,63,"['way', 'mean', 'change', 'find', 'make_sure', 'new', 'suggest', 'term', 'well', 'become', 'happen', 'long', 'fact', 'part', 'help', 'many', 'end', 'study', 'gentleman_yield', 'able']",65,?_?,,
1352,1997,Rep,72,"['problem', 'solve', 'lot', 'face', 'real', 'solve_problem', 'attention', 'correct', 'part', 'solution', 'find', 'many', 'assure', 'situation', 'big', 'happen', 'begin', 'cannot', 'last_year', 'happy']",31,?_?,,
1357,1997,Rep,77,"['service', 'legal', 'provide', 'health', 'corporation', 'case', 'serve', 'restriction', 'grantee', 'example', 'illegal_alien', 'poor', 'internal_revenue', 'volunteer', 'human', 'new', 'civil', 'lawsuit', 'violate', 'corp']",30,?_?,,
1358,1997,Rep,78,"['cost', 'taxpayer', 'estimate', 'insurance', 'benefit', 'reduce', 'price', 'industry', 'high_education', 'high', 'space_station', 'save', 'opic', 'low', 'saving', 'nato', 'provide', 'regulation', 'study', 'office']",40,?_costs,,
1399,1998,Rep,39,"['system', 'current', 'retirement', 'change', 'develop', 'create', 'missile_defense', 'home_health', 'ensure', 'citizen', 'political', 'intelligence', 'design', 'instant', 'undermine', 'agency', 'fix', 'punish', 'firearm', 'fail']",42,?_?,,
1403,1998,Rep,43,"['give', 'opportunity', 'more', 'hope', 'chance', 'well', 'help', 'housing', 'individual', 'same', 'kind', 'authority', 'own', 'choice', 'side', 'place', 'life', 'run', 'power', 'testify']",77,?_?,,
1410,1998,Rep,50,"['problem', 'solution', 'solve', 'correct', 'computer', 'kind', 'cause', 'mexico', 'situation', 'part', 'face', 'fact', 'approach', 'lot', 'serious', 'real', 'solve_problem', 'attention', 'area', 'create']",31,?_?,,
1412,1998,Rep,52,"['service', 'tribe', 'provide', 'community', 'contract', 'indian', 'county', 'post_office', 'help', 'comsat', 'health', 'legal', 'serve', 'assistance', 'satellite', 'public', 'building', 'individual', 'national_park', 'volunteer']",30,?_?,,
1430,1998,Rep,70,"['study', 'needle_exchange', 'science', 'needle', 'montreal', 'epa', 'vancouver', 'salton_sea', 'conclusion', 'policy', 'scientific', 'treaty', 'infection', 'find', 'conduct', 'information', 'implement', 'rate', 'water', 'use']",120,?_?,,
1434,1998,Rep,74,"['way', 'mean', 'gentleman_yield', 'able', 'lot', 'find', 'understand', 'hope', 'kind', 'well', 'speak', 'same', 'happen', 'stand', 'part', 'suggest', 'make_sure', 'most', 'involve', 'long']",65,?_?,,
1437,1998,Rep,77,"['english', 'statehood', 'solomon', 'citizen', 'puerto_rican', 'english_language', 'official', 'nation', 'commonwealth', 'become', 'spanish', 'bilingual_education', 'common', 'speak_english', 'status', 'speak', 'plebiscite', 'culture', 'substitute', 'immigrant']",64,?_?,,
1464,1999,Rep,24,"['provide', 'provision', 'open', 'include', 'request', 'ensure', 'fair', 'assistance', 'level', 'general', 'resource', 'necessary', 'rule_waive', 'opportunity', 'addition', 'effort', 'minority', 'require', 'housing', 'such']",70,?_?,,
1467,1999,Rep,27,"['system', 'juvenile_justice', 'juvenile', 'change', 'establish', 'new', 'coastal_barrier', 'transition', 'missile_defense', 'more', 'current', 'device', 'place', 'failure', 'improve', 'resource', 'procedure', 'foster_care', 'selective_service', 'welfare']",42,?_?,,
1475,1999,Rep,35,"['local', 'school_district', 'mandate', 'flexibility', 'federal_government', 'edflex', 'special_education', 'idea', 'school_board', 'federal', 'give', 'accountability', 'more', 'district', 'local_level', 'unfunded_mandate', 'decision', 'disability', 'law_enforcement', 'reduce_class']",77,?_?,primary secondary,education
1488,1999,Rep,48,"['cost', 'regulation', 'study', 'mandate', 'estimate', 'benefit', 'osha', 'regulatory', 'information', 'public', 'worker', 'require', 'ergonomic', 'injury', 'impact', 'impose', 'private_sector', 'more', 'national_academy', 'science']",40,?_costs,worker safety,labor
1494,1999,Rep,54,"['service', 'legal', 'corporation', 'serve', 'public', 'agency', 'case', 'weather', 'national', 'center', 'national_park', 'area', 'poor', 'provider', 'fish_wildlife', 'receive', 'caseload', 'abuse', 'foreign', 'information']",30,?_?,,
1496,1999,Rep,56,"['debt', 'public', 'reduce', 'pay_debt', 'national_debt', 'interest', 'deficit', 'hold', 'interest_rate', 'reduction', 'debt_reduction', 'number', 'owe', 'economy', 'payment', 'total', 'dollar', 'trust_fund', 'trigger', 'treasury']",94,?_?,national budget,macroeconomics
1505,1999,Rep,65,"['way', 'problem', 'fact', 'lot', 'understand', 'side', 'happen', 'many', 'mean', 'hope', 'concern', 'number', 'able', 'reclaim_time', 'kind', 'find', 'change', 'like', 'same', 'part']",31,?_?,,
1511,1999,Rep,71,"['use', 'own', 'accept', 'public', 'prohibit', 'control_substance', 'appropriate', 'event', 'credit', 'taxpayer_dollar', 'such', 'portion', 'marijuana', 'trust_fund', 'capitol_ground', 'ability', 'zone', 'kansa', 'available', 'intend']",34,?_?,,
1541,2000,Rep,21,"['debt', 'public', 'pay_debt', 'reduce', 'hold', 'debt_reduction', 'set', 'trust_fund', 'national_debt', 'mortgage', 'interest', 'total', 'priority', 'end', 'interest_rate', 'debt_relief', 'next_year', 'bankruptcy', 'treasury', 'retire']",94,?_?,national budget,macroeconomics
1550,2000,Rep,30,"['nation', 'world', 'freedom', 'history', 'war', 'peace', 'life', 'forget', 'century', 'democracy', 'fight', 'sacrifice', 'armenian', 'citizen', 'united', 'free', 'world_war', 'contribution', 'international', 'many']",64,?_?,,
1557,2000,Rep,37,"['housing', 'community', 'homeownership', 'home', 'opportunity', 'hud', 'affordable_housing', 'help', 'assistance', 'manufacture_housing', 'neighborhood', 'own', 'grant', 'police_officer', 'development_block', 'development', 'many', 'economic', 'american_dream', 'purchase']",43,housing_?,general,housing
1575,2000,Rep,55,"['provide', 'service', 'request', 'pende', 'minority', 'general', 'rule_waive', 'yield_customary', 'grant', 'assistance', 'purpose', 'additional', 'chairman_rank', 'divide_control', 'fair', 'motion_recommit', 'open', 'ensure', 'level', 'addition']",70,?_?,,
1576,2000,Rep,56,"['way', 'mean', 'reclaim_time', 'give', 'find', 'lot', 'happy', 'archer', 'kind', 'mind', 'different', 'place', 'happen', 'old', 'well', 'keep', 'same', 'chance', 'one', 'package']",65,?_?,,
1583,2000,Rep,63,"['problem', 'solve', 'help', 'border', 'concern', 'solve_problem', 'mexico', 'lot', 'solution', 'real', 'case', 'face', 'part', 'cause', 'reclaim_time', 'fix', 'exist', 'many', 'able', 'additional']",31,?_?,,
1588,2000,Rep,68,"['cost', 'taxpayer', 'high', 'estimate', 'consumer', 'industry', 'premium', 'employer', 'reduce', 'total', 'bankruptcy', 'require', 'product', 'pharmaceutical', 'regulation', 'dollar', 'fuel', 'share', 'insurance', 'office']",40,?_costs,,
1645,2001,Rep,45,"['provide', 'assistance', 'additional', 'request', 'include', 'necessary', 'resource', 'rule_waive', 'grant', 'administration', 'level', 'ensure', 'housing', 'voucher', 'last_year', 'total', 'appropriate', 'priority', 'critical', 'relief']",70,?_?,,
1646,2001,Rep,46,"['service', 'health', 'staff', 'public', 'health_human', 'rural', 'air', 'include', 'office', 'receive', 'center', 'provider', 'carrier', 'mental_health', 'national', 'department_labor', 'require', 'facility', 'area', 'secretary']",30,?_?,,
1647,2001,Rep,47,"['nation', 'united', 'great', 'history', 'man_woman', 'god', 'ensure', 'human_right', 'commitment', 'international', 'challenge', 'future', 'pray', 'national', 'defend', 'peacekeeping', 'bless', 'sacrifice', 'unite', 'past']",64,?_?,,
1669,2001,Rep,69,"['way', 'mean', 'fact', 'problem', 'believe', 'like', 'understand', 'concern', 'kind', 'side', 'hope', 'find', 'lot', 'number', 'make_sure', 'idea', 'speak', 'opportunity', 'part', 'word']",65,?_?,,
1678,2001,Rep,78,"['right', 'give', 'protect', 'happen', 'wrong', 'patient', 'opportunity', 'regulation', 'decision', 'stand', 'choice', 'balance', 'bob', 'protection', 'believe', 'little', 'proud', 'constitution', 'set', 'change']",77,?_?,,
1689,2002,Rep,9,"['nation', 'september', 'life', 'freedom', 'world', 'great', 'honor', 'attack', 'hero', 'remember', 'victim', 'terrorist', 'history', 'pentagon', 'love', 'spirit', 'courage', 'evil', 'die', 'man_woman']",64,?_?,,
1740,2002,Rep,60,"['debt', 'spending', 'spend', 'revenue', 'trust_fund', 'deficit', 'debt_limit', 'more', 'borrow', 'surplus', 'pay_debt', 'run', 'tax_cut', 'federal_government', 'grow', 'public', 'pay', 'dollar', 'balanced_budget', 'hold']",94,?_?,national budget,macroeconomics
1746,2002,Rep,66,"['right', 'protect', 'free_speech', 'wrong', 'constitution', 'believe', 'citizen', 'stand', 'fundamental', 'give', 'minority', 'interest', 'group', 'first', 'collective_bargaining', 'guarantee', 'civil_right', 'voice', 'same', 'fight']",77,?_?,speech,civil rights
1747,2002,Rep,67,"['way', 'fact', 'mean', 'number', 'understand', 'able', 'happen', 'problem', 'hope', 'believe', 'place', 'different', 'find', 'make_sure', 'speak', 'reclaim_time', 'appropriate', 'course', 'kind', 'same']",65,?_?,,
1754,2002,Rep,74,"['gambling', 'study', 'internet_gambling', 'native_american', 'casino', 'crime', 'indian', 'gaming', 'tribe', 'gentleman_virginia', 'indian_gaming', 'illegal', 'tribal', 'site', 'internet', 'art', 'problem', 'computer', 'credit_card', 'criminal']",120,?_?,general,domestic commerce
1760,2003,Rep,0,"['nation', 'united', 'world', 'human_right', 'u_', 'libya', 'saddam_hussein', 'security_council', 'history', 'destruction', 'weapon_mass', 'stand', 'french', 'lead', 'france', 'ally', 'weapon', 'fail', 'sanction', 'international']",64,?_?,,
1764,2003,Rep,4,"['provide', 'benefit', 'additional', 'assistance', 'necessary', 'compensation', 'ensure', 'individual', 'relief', 'opportunity', 'addition', 'rule_waive', 'resource', 'total', 'protection', 'reiterate', 'extend_unemployment', 'include', 'yield_customary', 'health']",70,?_?,,
1800,2003,Rep,40,"['debt', 'trust_fund', 'deficit', 'surplus', 'interest_rate', 'bankruptcy', 'national_debt', 'spending', 'interest', 'owe', 'borrow', 'public', 'burden', 'accumulate', 'borrow_money', 'hold', 'kid_grandkid', 'start', 'pay', 'total']",94,?_?,,
1814,2003,Rep,54,"['service', 'museum_library', 'library', 'committee_armed', 'community', 'serve', 'amtrak', 'financial', 'public', 'local', 'onestop', 'corporation', 'museum', 'training', 'health_human', 'commitment', 'volunteer', 'dedication', 'organization', 'receive']",30,?_?,,
1816,2003,Rep,56,"['way', 'mean', 'hold', 'problem', 'energy_commerce', 'value', 'find', 'package', 'gentlewoman_connecticut', 'understanding', 'happen', 'place', 'suggest', 'part', 'long', 'structure', 'set', 'sergeant_arm', 'cannot', 'make_sure']",65,?_?,,
1820,2003,Rep,60,"['hope', 'give', 'gentleman_yield', 'opportunity', 'progress', 'future', 'month', 'bob', 'ray', 'reach', 'entire', 'accept', 'conclude', 'commitment', 'end', 'subject', 'hard', 'freedom', 'possible', 'realize']",77,?_?,,
1836,2003,Rep,76,"['system', 'check', 'bank', 'electronic', 'improve', 'refuge', 'truncation', 'payment', 'collection', 'innovation', 'efficiency', 'receipt', 'foster', 'form', 'overall', 'mandate', 'facilitate', 'reform', 'gentleman_tennessee', 'national_wildlife']",42,?_?,,
1872,2004,Rep,32,"['provide', 'assistance', 'ensure', 'resource', 'request', 'opportunity', 'help', 'additional', 'new', 'include', 'improve', 'necessary', 'critical', 'pende', 'aid', 'operation', 'department', 'benefit', 'yield_customary', 'open']",70,?_?,,
1878,2004,Rep,38,"['housing', 'cap', 'privatization', 'military_construction', 'base_realignment', 'closure', 'raise', 'quality_life', 'cbo', 'department_defense', 'family', 'man_woman', 'home', 'dod', 'lift', 'live', 'military', 'basis', 'make_sure', 'score']",43,housing_?,,
1887,2004,Rep,47,"['way', 'mean', 'mark', 'happen', 'find', 'possible', 'long', 'help', 'hope', 'feel', 'different', 'come_floor', 'cannot', 'kind', 'more', 'course', 'clear', 'term', 'least', 'problem']",65,?_?,,
1888,2004,Rep,48,"['service', 'financial', 'committee_armed', 'block_grant', 'agency', 'uniform', 'public', 'regulation', 'health_human', 'organization', 'banking', 'center', 'faithbased_organization', 'federal', 'credit', 'financial_institution', 'regulatory', 'bank', 'health', 'include']",30,?_?,,
1903,2004,Rep,63,"['debt', 'interest', 'debt_limit', 'total', 'interest_rate', 'deficit', 'revenue', 'surplus', 'financial', 'kid_grandkid', 'public', 'national_debt', 'unfunded_liability', 'raise', 'bankruptcy', 'overspending', 'future', 'overspend', 'medicare', 'promise']",94,?_?,national budget,macroeconomics
1916,2004,Rep,76,"['nation', 'united', 'sudan', 'darfur', 'genocide', 'world', 'oil', 'security_council', 'oilforfood_program', 'scandal', 'international', 'government_sudan', 'russia', 'oilforfood', 'u_', 'effort', 'regard', 'war', 'rape', 'janjaweed']",64,?_?,general,international affairs
1920,2005,Rep,0,"['way', 'believe', 'fact', 'understand', 'tonight', 'hope', 'opportunity', 'make_sure', 'kind', 'mean', 'happen', 'lot', 'change', 'like', 'number', 'able', 'reclaim_time', 'give', 'speak', 'concern']",65,?_?,,
1932,2005,Rep,12,"['united', 'nation', 'human_right', 'scandal', 'corruption', 'organization', 'international', 'world', 'hyde', 'oilforfood_program', 'security_council', 'accountability', 'body', 'antisemitism', 'accountable', 'due', 'oilforfood_scandal', 'membership', 'general_assembly', 'official']",64,?_?,,
1974,2005,Rep,54,"['cost', 'pay', 'price', 'taxpayer', 'debt', 'dollar', 'bankruptcy', 'loan', 'horse', 'sugar', 'estimate', 'benefit', 'high', 'drug', 'consumer', 'buy', 'federal_government', 'debtor', 'cent', 'germany']",40,?_costs,,
1984,2005,Rep,64,"['provide', 'include', 'request', 'assistance', 'service', 'additional', 'ensure', 'resource', 'necessary', 'flexibility', 'addition', 'supplemental', 'housing', 'administration', 'total', 'level', 'protection', 'department', 'training', 'available']",70,?_?,,
