,year,party,window_id,terms,dynamic_id,topic_label,sub_topic,major_topic
341,1985,Rep,21,"['provide', 'federal', 'service', 'agency', 'education', 'research', 'student', 'authority', 'public', 'national', 'plan', 'development', 'such', 'amtrak', 'require', 'facility', 'assistance', 'grant', 'center', 'loan']",70,?_?,,
344,1985,Rep,24,"['cost', 'taxpayer', 'estimate', 'factor', 'cargo_preference', 'meal', 'contract', 'navy', 'contractor', 'ship', 'competition', 'expense', 'additional', 'interstate', 'student', 'total', 'food', 'rate', 'save', 'fee']",40,?_costs,,
351,1985,Rep,31,"['study', 'comparable_worth', 'conclusion', 'civil_right', 'personnel_management', 'office', 'discrimination', 'acid_rain', 'equal', 'pay_equity', 'examine', 'able', 'result', 'collective_bargaining', 'environmental', 'woman', 'recommendation', 'impact', 'wage', 'worth']",120,?_?,,
356,1985,Rep,36,"['housing', 'new', 'unit', 'public_housing', 'banking_committee', 'build', 'latta', 'repair', 'hud', 'assist_housing', 'exist', 'construction', 'priority', 'create', 'lowincome', 'accounting', 'appropriate', 'great_deal', 'additional', 'bartlett']",43,housing_?,general,housing
365,1985,Rep,45,"['right', 'constitution', 'power', 'prayer', 'protect', 'freedom', 'wrong', 'constitutional', 'deny', 'supreme_court', 'own', 'free', 'first', 'exercise', 'public', 'minority', 'eighth_district', 'citizen', 'religion', 'firearm']",77,?_?,general,civil rights
368,1985,Rep,48,"['hospital', 'service', 'rural_hospital', 'health_care', 'wage_index', 'reimbursement', 'medicare', 'health_human', 'department', 'patient', 'prospective_payment', 'index', 'health', 'care', 'medical', 'revise', 'rate', 'davis', 'payment', 'physician']",30,?_?,hospitals,health
375,1985,Rep,55,"['way', 'kind', 'find', 'able', 'good', 'handle', 'hope', 'give', 'gentleman_yield', 'same', 'seem', 'wrong', 'well', 'idea', 'lot', 'many', 'course', 'attempt', 'suggest', 'run']",65,?_?,,
379,1985,Rep,59,"['nation', 'united', 'world', 'national', 'today', 'contribution', 'general_assembly', 'freedom', 'peace', 'international', 'mission', 'history', 'organization', 'great', 'interest', 'economic', 'future', 'secretariat', 'citizen', 'responsibility']",64,?_?,general,international affairs
381,1985,Rep,61,"['system', 'asat', 'test', 'farm_credit', 'satellite', 'space', 'capability', 'deploy', 'develop', 'laser', 'testing', 'mobile', 'technology', 'antisatellite', 'bank', 'institution', 'sdi', 'operational', 'moratorium', 'deployment']",42,?_?,,
385,1985,Rep,65,"['use', 'word', 'abortion', 'move_strike', 'egg', 'weapon', 'chemical_weapon', 'purpose', 'requisite_number', 'family_planning', 'believe', 'chemical', 'stockpile', 'mean', 'last', 'test', 'aircraft', 'machine', 'intend', 'term']",34,?_?,,
387,1985,Rep,67,"['figure', 'low', 'cbo', 'understanding', 'inflation', 'least', 'total', 'growth', 'difference', 'entire', 'estimate', 'much', 'keep', 'number', 'conte', 'budgetary', 'weekend', 'unified_budget', 'meal', 'phony']",40,?_costs,,
411,1986,Rep,11,"['housing', 'voucher', 'hud', 'banking_committee', 'vacancy', 'provide', 'nehemiah', 'elderly', 'rent', 'gonzalezmckinney', 'udag', 'development', 'home_ownership', 'exist', 'gonzalez', 'home', 'mortgage', 'lowincome_family', 'lowincome', 'rental_housing']",43,housing_?,general,housing
415,1986,Rep,15,"['give', 'opportunity', 'chance', 'more', 'fair', 'least', 'responsibility', 'spend', 'little', 'feel', 'notice', 'great', 'thought', 'discretion', 'reason', 'district_columbia', 'word', 'big', 'reasonable', 'property']",77,?_?,,
430,1986,Rep,30,"['public_housing', 'unit', 'repair', 'tenant', 'resident', 'authority', 'construction', 'modernization', 'live', 'priority', 'hud', 'management', 'uninhabitable', 'condition', 'rent', 'provide', 'vacant', 'standard', 'status_quo', 'demolition']",43,housing_?,general,housing
433,1986,Rep,33,"['service', 'community', 'provide', 'volunteer', 'health_care', 'head_start', 'health', 'indian', 'library', 'care', 'block_grant', 'old_american', 'veteran', 'vista', 'hospital', 'reauthorize', 'indian_health', 'serve', 'center', 'benefit']",30,?_?,,
436,1986,Rep,36,"['problem', 'create', 'solution', 'face', 'solve', 'lot', 'concerned', 'concern', 'many', 'crisis', 'regard', 'body', 'solve_problem', 'real', 'serious', 'part', 'right_direction', 'cause', 'big', 'whole']",31,?_?,,
440,1986,Rep,40,"['cost', 'pay', 'taxpayer', 'additional', 'estimate', 'contract', 'hospital', 'federal_government', 'much', 'contractor', 'capital', 'liability', 'fee', 'interest', 'consumer', 'expense', 'amount', 'build', 'idea', 'require']",40,?_costs,,
447,1986,Rep,47,"['use', 'polygraph', 'purpose', 'procedure', 'pesticide', 'fuel', 'tool', 'epa', 'mean', 'abuse', 'protect', 'such', 'authority', 'available', 'public_health', 'intend', 'require', 'many', 'use_polygraph', 'homeless']",34,?_?,,
454,1986,Rep,54,"['system', 'farm_credit', 'payment', 'borrower', 'safety_soundness', 'satellite', 'restructuring', 'railroad', 'asat', 'hospital', 'rail', 'foreclosure', 'concern', 'capital', 'banking', 'capability', 'federal_reserve', 'debt', 'ensure', 'operational']",42,?_?,,
459,1986,Rep,59,"['national_park', 'park', 'grand_canyon', 'aircraft', 'wilderness', 'boundary', 'acre', 'study', 'national', 'park_service', 'establish', 'believe', 'plan', 'basin', 'canyon', 'proposal', 'concern', 'regard', 'recreation', 'noise']",120,?_?,general,public lands
465,1986,Rep,65,"['philippine', 'assistance', 'help', 'economic', 'aquino', 'democracy', 'election', 'marco', 'provide', 'haiti', 'foreign_aid', 'aid', 'additional', 'military', 'democratic', 'foreign', 'mrs_aquino', 'ireland', 'economy', 'corazon']",70,?_?,foreign aid,international affairs
471,1986,Rep,71,"['river', 'water', 'wild_scenic', 'segment', 'study', 'effort', 'include', 'recreational', 'designation', 'creek', 'protection', 'mile', 'scenic', 'provide', 'flood_control', 'approve', 'conservation', 'compromise', 'plan', 'dam']",120,?_?,general,public lands
477,1986,Rep,77,"['nation', 'world', 'united', 'veteran', 'national', 'terrorism', 'effort', 'contribution', 'international', 'memorial', 'history', 'war', 'event', 'honor', 'life', 'organization', 'peace', 'saudi', 'woman', 'great']",64,?_?,,
491,1987,Rep,11,"['system', 'farm_credit', 'borrower', 'loan', 'secondary_market', 'credit', 'commercial_bank', 'agriculture', 'interest_rate', 'provide', 'farm', 'restructuring', 'assistance', 'lender', 'farmer', 'fcs', 'title', 'farmer_home', 'guarantee', 'local']",42,?_?,general,agriculture
506,1987,Rep,26,"['housing', 'unit', 'public_housing', 'tenant', 'fha', 'voucher', 'authority', 'hud', 'new', 'provide', 'community_development', 'dalla', 'permanent', 'houston', 'construction', 'wylie_substitute', 'mortgage', 'resident', 'home', 'lowincome']",43,housing_?,general,housing
515,1987,Rep,35,"['service', 'old_american', 'provide', 'center', 'health', 'community', 'elderly', 'age', 'nutrition', 'assistance', 'inhome_service', 'old', 'serve', 'agency', 'senior', 'individual', 'senior_citizen', 'station', 'reauthorize', 'new']",30,?_?,elderly care,social welfare
522,1987,Rep,42,"['homeless', 'shelter', 'assistance', 'fema', 'city', 'help', 'provide', 'food_stamp', 'homelessness', 'street', 'food', 'workfare', 'individual', 'emergency', 'emergency_shelter', 'mental', 'emergency_food', 'community', 'grant', 'food_assistance']",70,?_?,homelessness,social welfare
525,1987,Rep,45,"['use', 'polygraph', 'use_polygraph', 'tool', 'purpose', 'prohibit', 'fuel', 'agency', 'determinant', 'lie_detector', 'employment', 'private_sector', 'case', 'protect', 'paint', 'trust_fund', 'sole', 'polygraph_test', 'accounting', 'chemical_weapon']",34,?_?,,
538,1987,Rep,58,"['policy', 'change', 'political', 'economic', 'foreign_policy', 'decision', 'responsibility', 'national', 'result', 'clear', 'review', 'central_america', 'establish', 'attempt', 'effect', 'situation', 'success', 'ocean', 'current', 'longterm']",80,?_?,,
545,1987,Rep,65,"['waiver', 'waive', 'quorum', 'rule_waive', 'appropriation_committee', 'particular', 'waive_budget', 'case', 'waive_point', '302', 'open_rule', 'procedure', 'land', 'letter', 'explanation', 'requirement', 'handle', 'prohibit', 'exceed', 'blanket']",70,?_?,,
548,1987,Rep,68,"['cost', 'pay', 'dollar', 'estimate', 'additional', 'taxpayer', 'figure', 'more', 'add', 'price', 'less', 'legal', 'high', 'competition', 'low', 'save', 'payment', 'reduce', 'saving', 'business']",40,?_costs,,
551,1987,Rep,71,"['give', 'good', 'opportunity', 'kind', 'chance', 'way', 'idea', 'reason', 'hope', 'seem', 'keep', 'mean', 'speak', 'particular', 'able', 'happen', 'least', 'one', 'course', 'sure']",77,?_?,,
554,1987,Rep,74,"['study', 'turtle', 'ted', 'polygraph', 'shrimp', 'cite', 'recommendation', 'validity', 'shrimper', 'show', 'find', 'net', 'preemployment', 'catch', 'sea_turtle', 'dead', 'smoking', 'many', 'accurate', 'review']",120,?_?,,
558,1987,Rep,78,"['problem', 'solve', 'solution', 'face', 'concern', 'solve_problem', 'more', 'kind', 'real', 'hope', 'concerned', 'way', 'situation', 'district', 'find', 'part', 'serious_problem', 'many', 'approach', 'acid_rain']",31,?_?,,
560,1988,Rep,0,"['way', 'kind', 'seem', 'lot', 'part', 'little', 'find', 'figure', 'procedure', 'discussion', 'course', 'reason', 'appropriate', 'same', 'suggest', 'assure', 'well', 'one', 'situation', 'guess']",65,?_?,,
579,1988,Rep,19,"['study', 'pay', 'comparable_worth', 'discrimination', 'pay_equity', 'woman', 'conduct', 'equal', 'federal_government', 'proponent', 'objective', 'conduct_study', 'compensation', 'wage', 'analysis', 'read', 'conclusion', 'differential', 'opm', 'practice']",120,?_?,discrimination,civil rights
594,1988,Rep,34,"['policy', 'administration', 'madam_chairman', 'change', 'drugfree_workplace', 'foreign_policy', 'jack', 'central_america', 'board', 'workplace', 'achieve', 'nation', 'standard', 'jack_kemp', 'conviction', 'walker', 'kildee', 'result', 'new', 'regard']",80,?_?,,
599,1988,Rep,39,"['homeless', 'block_grant', 'housing', 'community', 'assistance', 'shelter', 'approach', 'homelessness', 'fiscal_year', 'provide', 'mckinney_act', 'homeless_assistance', 'problem_homelessness', 'mckinney_homeless', 'city', 'local', 'hud', 'grant', 'help', 'mental_health']",43,housing_?,homelessness,housing
608,1988,Rep,48,"['use', 'chemical_weapon', 'iraq', 'standard', 'procedure', 'weapon', 'same', 'workplace', 'abortion', 'stop', 'involve', 'narcotic', 'car', 'person', 'tool', 'marijuana', 'sanction', 'international', 'abuse', 'word']",34,?_?,,
621,1988,Rep,61,"['problem', 'area', 'solution', 'situation', 'many', 'concern', 'solve', 'hope', 'change', 'real', 'effort', 'serious', 'face', 'help', 'epa', 'difficult', 'attempt', 'explain', 'county', 'body']",31,?_?,,
631,1988,Rep,71,"['service', 'provide', 'community', 'agency', 'nation', 'board', 'health', 'library', 'volunteer', 'serve', 'center', 'appropriation', 'national', 'legal', 'national_park', 'appropriate', 'corporation', 'essential_air', 'fiscal_year', 'level']",30,?_?,,
635,1988,Rep,75,"['give', 'opportunity', 'chance', 'notice', 'today', 'word', 'peace_chance', 'particular', 'least', 'more', 'special', 'last', 'recognition', 'reason', 'decide', 'move_strike', 'priority', 'withdraw', 'keep', 'attention']",77,?_?,,
636,1988,Rep,76,"['system', 'midgetman', 'asat', 'vessel', 'rail', 'missile', 'develop', 'rail_garrison', 'capability', 'identification', 'air_force', 'competitive', 'reform', 'cost', 'felon', 'decision', 'vehicle', 'telephone', 'management', 'mx']",42,?_?,,
663,1989,Rep,23,"['housing', 'hud', 'public_housing', 'unit', 'reform', 'choice', 'voucher', 'secretary_kemp', 'fha', 'tenant', 'community', 'banking_committee', 'resident', 'banking_finance', 'urban_affair', 'proposal', 'secretary', 'housing_urban', 'development', 'affordable_housing']",43,housing_?,general,housing
676,1989,Rep,36,"['service', 'legal', 'corporation', 'provide', 'board', 'volunteer', 'fire', 'national_park', 'serve', 'vista', 'improve', 'quality', 'attorney', 'community', 'lawsuit', 'redistricting', 'grantee', 'federal_employee', 'assistance', 'frank']",30,?_?,,
692,1989,Rep,52,"['nation', 'united', 'plo', 'lebanon', 'human_right', 'organization', 'world', 'international', 'terrorist', 'india', 'effort', 'membership', 'lebanese', 'peace', 'national', 'terrorism', 'israel', 'syria', 'violence', 'torture']",64,?_?,middle east,international affairs
695,1989,Rep,55,"['b2', 'cost', 'bomber', 'defense', 'procurement', 'build', 'plane', 'airplane', 'spend', 'b52', 'strategic', 'aircraft', 'mission', 'technology', 'skelton', 'triad', 'missile', 'capability', 'aspinsynar', 'deterrent']",40,?_costs,procurement,defense
699,1989,Rep,59,"['way', 'problem', 'good', 'kind', 'fact', 'hope', 'find', 'seem', 'body', 'give', 'one', 'happen', 'same', 'mean', 'reason', 'part', 'lot', 'well', 'suggest', 'today']",31,?_?,,
710,1989,Rep,70,"['poland', 'assistance', 'poland_hungary', 'polish', 'food', 'economic', 'provide', 'democracy', 'help', 'eastern_europe', 'solidarity', 'aid', 'economy', 'political', 'government', 'polish_people', 'communist', 'democratic', 'historic', 'lech_walesa']",70,?_?,foreign aid,international affairs
